user_code,age_group,department,disability,gender,LC-What is the main challenge of the tasks in the task set A and B?,LC-The LC visualisation along with the text is useful (5 = strongly agreeÂ  - 1 = disagree),LC-Have you used the LC visualisation for better interpretation in the multi-document task? (5 = only used visualisationÂ  - moderately used visualisation - 1 = didn't used visualisation),LC-Notes
GOLD_23,21_30,Management with Marketing,False,male,The task was complex;,3,4,GOLD_23 (Task set A and B) Participant had loud music and other people were chatting during the session - 
GOLD_24,21_30,Occupational Psychology,False,female,The visualisation tool was difficult to interpret;,1,2,"GOLD_24 (Task set A and B) https://storyanalysis.co.uk/demo/lc.html?condition=text&task=case1&key=ivermectin-can-kill-covid-19-within-48-hours-monash-university-study-finds ---- told that date is wrong Who information was difficult to interpret, related to not knowing the context  "
GOLD_25,21_30,Institute of Management ,False,female,The visualisation tool was difficult to interpret;,3,3,GOLD_25 (Task set A and B) Did all the work in a hurry Viz should be there can be used part of understanding when quickly doing the task.  
GOLD_26,upto_20,Computing,False,female,The visualisation tool was difficult to interpret;,3,2,"GOLD_26 (Task set A and B) Communication was broken during sample task. The participant wasted sometime doing the sample task. Therefore, the participant did the last task in hurry.   "
GOLD_27,upto_20,Computing,False,female,The visualisation tool was difficult to interpret;,4,4,GOLD_27 (Task set A and B) reading clockwise was difficult   
GOLD_28,21_30,Computing,False,female,The visualisation tool was difficult to interpret;,2,2,"GOLD_28 (Task set A and B) Don't have any experience of data visualization, so found it very hard    "
GOLD_29,21_30,Media and Communications,False,female,The visualisation tool was difficult to interpret;,1,1,GOLD_29 (Task set A and B) Text is medicine based. Uncomforted zone. Took more than 2 hours.    
GOLD_3,31_40,English and Creative Writing ,False,female,The visualisation tool was difficult to interpret;,3,1,GOLD_3 (Task set A and B) Visualization was initially difficult but by the end of the task was used to it. Didn't went to single document from the multiple document task. So neither used text not visualization.   
GOLD_30,21_30,Psychology,False,female,The visualisation tool was difficult to interpret;,5,2,GOLD_30 (Task set A and B) She split the desktop screen into 2 parts and used one side for reading and one side for writing Hard because was contextual details was missing Good with the text. Infer with the text and made it easier.  
GOLD_31,21_30,Computing,False,other,The visualisation tool was difficult to interpret;,4,4,"GOLD_31 (Task set A and B) Getting the context was confusing Factually assurity wasn't there Really useful to have it  The visualization of wheel was difficult Used for recall, it pictured the data really well With longer text it can be more useful Read the article ance and then went back to analysis wheel  "
GOLD_32,21_30,Computing,False,female,The visualisation tool was difficult to interpret;,3,2,GOLD_32 (Task set A and B) Hard to link them because of context    
GOLD_33,21_30,Computing,False,male,The visualisation tool was difficult to interpret;,5,3,GOLD_33 (Task set A and B) Kept on asking help during tasks. English not the first language. He by mistake did only one task per set A and B. After finishing se C and D he redone the second tasks for the set. --- 2nd 2 tasks been done later   
GOLD_4,upto_20,Management Studies,False,male,The visualisation tool was difficult to interpret;,3,2,GOLD_4 (Task set A and B) Seems like using existing knowledge about COVID while writing Less contextual details about the terms  
GOLD_5,21_30,Computing,False,male,The visualisation tool was difficult to interpret;,1,1,GOLD_5 (Task set A and B) Didn't went through all of the sample tasks Colors was not labeled. Difficult to understand.   
GOLD_6,31_40,English and Creative Writing,False,female,None of the above;,2,2,"GOLD_6 (Task set A and B) After the first task, second task was easy relied lot on the title less contextual details  "
GOLD_7,21_30,Computing,False,male,The visualisation tool was difficult to interpret;,4,2,GOLD_7 (Task set A and B) He found the task easy because he made his story taking a strategy. He didn't want to understand it. The participant seemed to look at it as an idea point of view. The participant used the visualization as a creative tool. Less contextual details. Without context will be difficult interpret. For longer text LC viz will be better for finding emphasis. It will be good to add contextual details (the sentences having the term on clicking or hovering over the term.)    
GOLD_8,31_40,Institute of Management Studies,False,female,The visualisation tool was difficult to interpret;,1,1,GOLD_8 (Task set A and B) Less contextual details    
GOLD_9,21_30,Computing,False,male,The visualisation tool was difficult to interpret;,3,4,
